id,file,source,license,retrieved_on,url,feature_tags,notes
poi-charts-123233,123233_charts.xlsx,apache-poi,Apache-2.0,2026-06-04,https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/123233_charts.xlsx,charts,Multiple embedded charts
poi-scatter-chart,SimpleScatterChart.xlsx,apache-poi,Apache-2.0,2026-06-04,https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/SimpleScatterChart.xlsx,charts scatter,Scatter chart
poi-pivot-sample,ExcelPivotTableSample.xlsx,apache-poi,Apache-2.0,2026-06-04,https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/ExcelPivotTableSample.xlsx,pivottables,PivotTable sample workbook
poi-cf-samples,ConditionalFormattingSamples.xlsx,apache-poi,Apache-2.0,2026-06-04,https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/ConditionalFormattingSamples.xlsx,conditional-formatting color-scales data-bars icon-sets,Large conditional-formatting sample
poi-cf-newstyle,NewStyleConditionalFormattings.xlsx,apache-poi,Apache-2.0,2026-06-04,https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/NewStyleConditionalFormattings.xlsx,conditional-formatting,New-style dxf conditional formatting
poi-cf-55406,55406_Conditional_formatting_sample.xlsx,apache-poi,Apache-2.0,2026-06-04,https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/55406_Conditional_formatting_sample.xlsx,conditional-formatting,Conditional formatting rules
poi-cf-numfmt-61060,61060-conditional-number-formatting.xlsx,apache-poi,Apache-2.0,2026-06-04,https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/61060-conditional-number-formatting.xlsx,conditional-formatting number-formats,Conditional number formatting
poi-tables-excel,ExcelTables.xlsx,apache-poi,Apache-2.0,2026-06-04,https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/ExcelTables.xlsx,tables structured-references,Structured Excel tables
poi-tables,Tables.xlsx,apache-poi,Apache-2.0,2026-06-04,https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/Tables.xlsx,tables,Tables
poi-table-50867,50867_with_table.xlsx,apache-poi,Apache-2.0,2026-06-04,https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/50867_with_table.xlsx,tables,Workbook with a table
poi-validation-eval,DataValidationEvaluations.xlsx,apache-poi,Apache-2.0,2026-06-04,https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/DataValidationEvaluations.xlsx,data-validation,Data validation rules
poi-validation-49244,DataValidations-49244.xlsx,apache-poi,Apache-2.0,2026-06-04,https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/DataValidations-49244.xlsx,data-validation,Data validation rules
poi-formatting,Formatting.xlsx,apache-poi,Apache-2.0,2026-06-04,https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/Formatting.xlsx,formatting styles number-formats,Cell formatting and styles
poi-numberformat,NumberFormatTests.xlsx,apache-poi,Apache-2.0,2026-06-04,https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/NumberFormatTests.xlsx,number-formats,Number format tests
poi-themes,Themes.xlsx,apache-poi,Apache-2.0,2026-06-04,https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/Themes.xlsx,themes styles,Workbook theme colors
poi-theme-colours-50784,50784-font_theme_colours.xlsx,apache-poi,Apache-2.0,2026-06-04,https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/50784-font_theme_colours.xlsx,themes styles font-colors,Theme-backed font colors
poi-comments,SimpleWithComments.xlsx,apache-poi,Apache-2.0,2026-06-04,https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/SimpleWithComments.xlsx,comments,Cell comments
poi-merges-57893,57893-many-merges.xlsx,apache-poi,Apache-2.0,2026-06-04,https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/57893-many-merges.xlsx,merged-cells structure,Many merged cells
poi-formula-eval,FormulaEvalTestData_Copy.xlsx,apache-poi,Apache-2.0,2026-06-04,https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/FormulaEvalTestData_Copy.xlsx,formulas cached-results,Formula evaluation fixtures with cached results
poi-formula-matrix,MatrixFormulaEvalTestData.xlsx,apache-poi,Apache-2.0,2026-06-04,https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/MatrixFormulaEvalTestData.xlsx,formulas array-formulas cached-results,Array/matrix formula fixtures
poi-formula-workday-50755,50755_workday_formula_example.xlsx,apache-poi,Apache-2.0,2026-06-04,https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/50755_workday_formula_example.xlsx,formulas date-functions,WORKDAY formula example
poi-headerfooter,HeaderFooterComplexFormats.xlsx,apache-poi,Apache-2.0,2026-06-04,https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/HeaderFooterComplexFormats.xlsx,page-setup headers-footers,Complex header/footer formats
