id,file,source,license,retrieved_on,url,feature_tags,notes
poi-various-pictures,VariousPictures.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/VariousPictures.docx,images styles,Multiple embedded pictures and image relationships
poi-drawing,drawing.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/drawing.docx,drawings images,DrawingML and multiple media parts
poi-chart,chartex.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/chartex.docx,charts images numbering,Document with chart-related package parts and numbering
poi-comments,testComment.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/testComment.docx,comments images,Comment part coverage with media
poi-tracked-changes,delins.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/delins.docx,tracked-changes numbering,Inserted/deleted revision markup
poi-footnotes,footnotes.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/footnotes.docx,footnotes endnotes,Footnote and endnote package coverage
poi-endnotes,endnotes.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/endnotes.docx,footnotes endnotes,Endnote-focused package coverage
poi-header-footer,headerFooter.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/headerFooter.docx,headers-footers sections,Multiple header and footer parts
poi-page-specific-header-footer,PageSpecificHeadFoot.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/PageSpecificHeadFoot.docx,headers-footers sections footnotes endnotes,Page-specific header/footer and note interactions
poi-complex-numbered-lists,ComplexNumberedLists.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/ComplexNumberedLists.docx,numbering lists,Complex numbering and list level coverage
poi-numbering-overrides,NumberingWOverrides.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/NumberingWOverrides.docx,numbering lists,Numbering overrides coverage
poi-table-footnotes,table_footnotes.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/table_footnotes.docx,tables footnotes endnotes,Footnotes inside table structures
poi-deep-table-cell,deep-table-cell.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/deep-table-cell.docx,tables nested-tables,Deep/nested table cell structure
poi-field-codes,FieldCodes.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/FieldCodes.docx,fields numbering,Word field codes
poi-bookmarks,bookmarks.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/bookmarks.docx,bookmarks,Bookmark markup coverage
poi-checkboxes,checkboxes.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/checkboxes.docx,content-controls checkboxes headers-footers footnotes endnotes numbering,Checkbox/content-control style document with notes and headers
poi-embedded-document,EmbeddedDocument.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/EmbeddedDocument.docx,embedded-objects styles,Embedded document package relationship
poi-word-with-attachments,WordWithAttachments.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/WordWithAttachments.docx,attachments comments footnotes endnotes headers-footers images,Document with attachments and mixed package parts
poi-stress-003,stress003.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/integration/stress003.docx,stress numbering images,Sizeable stress fixture with numbering and media
poi-stress-004,stress004.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/integration/stress004.docx,stress headers-footers footnotes endnotes numbering images,Large mixed fixture with many headers and notes
poi-stress-008,stress008.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/integration/stress008.docx,stress headers-footers footnotes endnotes numbering images,Large mixed fixture with notes and media
poi-stress-010,stress010.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/integration/stress010.docx,stress comments headers-footers footnotes endnotes numbering images,Large mixed fixture including comments
poi-stress-015,stress015.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/integration/stress015.docx,stress headers-footers footnotes endnotes numbering images,Large mixed fixture with footer/note/media coverage
poi-stress-018,stress018.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/integration/stress018.docx,stress headers-footers footnotes endnotes numbering images,Large mixed fixture with headers and footers
poi-stress-023,stress023.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/integration/stress023.docx,stress headers-footers footnotes endnotes numbering images,Large mixed fixture with multiple section adornments
poi-page-break-large,saut_page.docx,apache-poi,Apache-2.0,2026-06-17,https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/saut_page.docx,stress page-breaks headers-footers,Large page-break stress fixture
